Sample_ID,Sample Name,Source Plate Barcode,Source Plate Name,Source Well,Destination Plate Barcode,Destination Plate Name,Destination Well,Volume
Moty_run1_c260,Moty_run1_c260,GF0001258,GF0001258_Process,K19,GF0001264,GF0001264,K19,1000.0
Moty_run1_c261,Moty_run1_c261,GF0001258,GF0001258_Process,K20,GF0001264,GF0001264,K20,1000.0
Moty_run1_c262,Moty_run1_c262,GF0001258,GF0001258_Process,K21,GF0001264,GF0001264,K21,1000.0
Moty_run1_c263,Moty_run1_c263,GF0001258,GF0001258_Process,K22,GF0001264,GF0001264,K22,1000.0
Moty_run1_c264,Moty_run1_c264,GF0001258,GF0001258_Process,K23,GF0001264,GF0001264,K23,1000.0
Moty_run1_c265,Moty_run1_c265,GF0001258,GF0001258_Process,K24,GF0001264,GF0001264,K24,1000.0
Moty_run1_c266,Moty_run1_c266,GF0001258,GF0001258_Process,L1,GF0001264,GF0001264,L1,1000.0
Moty_run1_c267,Moty_run1_c267,GF0001258,GF0001258_Process,L2,GF0001264,GF0001264,L2,1000.0
Moty_run1_c268,Moty_run1_c268,GF0001258,GF0001258_Process,L3,GF0001264,GF0001264,L3,1000.0
Moty_run1_c269,Moty_run1_c269,GF0001258,GF0001258_Process,L4,GF0001264,GF0001264,L4,1000.0
Moty_run1_c270,Moty_run1_c270,GF0001258,GF0001258_Process,L5,GF0001264,GF0001264,L5,1000.0
Moty_run1_c271,Moty_run1_c271,GF0001258,GF0001258_Process,L6,GF0001264,GF0001264,L6,1000.0
Moty_run1_c272,Moty_run1_c272,GF0001258,GF0001258_Process,L7,GF0001264,GF0001264,L7,1000.0
Moty_run1_c273,Moty_run1_c273,GF0001258,GF0001258_Process,L8,GF0001264,GF0001264,L8,1000.0
Moty_run1_c274,Moty_run1_c274,GF0001258,GF0001258_Process,L9,GF0001264,GF0001264,L9,1000.0
Moty_run1_c275,Moty_run1_c275,GF0001258,GF0001258_Process,L10,GF0001264,GF0001264,L10,1000.0
Moty_run1_c276,Moty_run1_c276,GF0001258,GF0001258_Process,L11,GF0001264,GF0001264,L11,1000.0
Moty_run1_c277,Moty_run1_c277,GF0001258,GF0001258_Process,L12,GF0001264,GF0001264,L12,1000.0
Moty_run1_c278,Moty_run1_c278,GF0001258,GF0001258_Process,L13,GF0001264,GF0001264,L13,1000.0
Moty_run1_c279,Moty_run1_c279,GF0001258,GF0001258_Process,L14,GF0001264,GF0001264,L14,1000.0
Moty_run1_c280,Moty_run1_c280,GF0001258,GF0001258_Process,L15,GF0001264,GF0001264,L15,1000.0
Moty_run1_c281,Moty_run1_c281,GF0001258,GF0001258_Process,L16,GF0001264,GF0001264,L16,1000.0
Moty_run1_c282,Moty_run1_c282,GF0001258,GF0001258_Process,L17,GF0001264,GF0001264,L17,1000.0
Moty_run1_c283,Moty_run1_c283,GF0001258,GF0001258_Process,L18,GF0001264,GF0001264,L18,1000.0
Moty_run1_c284,Moty_run1_c284,GF0001258,GF0001258_Process,L19,GF0001264,GF0001264,L19,1000.0
Moty_run1_c285,Moty_run1_c285,GF0001258,GF0001258_Process,L20,GF0001264,GF0001264,L20,1000.0
Moty_run1_c286,Moty_run1_c286,GF0001258,GF0001258_Process,L21,GF0001264,GF0001264,L21,1000.0
Moty_run1_c287,Moty_run1_c287,GF0001258,GF0001258_Process,L22,GF0001264,GF0001264,L22,1000.0
Moty_run1_c288,Moty_run1_c288,GF0001258,GF0001258_Process,L23,GF0001264,GF0001264,L23,1000.0
Moty_run1_c289,Moty_run1_c289,GF0001258,GF0001258_Process,L24,GF0001264,GF0001264,L24,1000.0
Moty_run1_c290,Moty_run1_c290,GF0001258,GF0001258_Process,M1,GF0001264,GF0001264,M1,1000.0
Moty_run1_c291,Moty_run1_c291,GF0001258,GF0001258_Process,M2,GF0001264,GF0001264,M2,1000.0
Moty_run1_c292,Moty_run1_c292,GF0001258,GF0001258_Process,M3,GF0001264,GF0001264,M3,1000.0
Moty_run1_c293,Moty_run1_c293,GF0001258,GF0001258_Process,M4,GF0001264,GF0001264,M4,1000.0
Moty_run1_c294,Moty_run1_c294,GF0001258,GF0001258_Process,M5,GF0001264,GF0001264,M5,1000.0
Moty_run1_c295,Moty_run1_c295,GF0001258,GF0001258_Process,M6,GF0001264,GF0001264,M6,1000.0
Moty_run1_c296,Moty_run1_c296,GF0001258,GF0001258_Process,M7,GF0001264,GF0001264,M7,1000.0
